State,Mode,Year,Commute mode share (percent)
United States,Bicycle,2022,0.004554006
United States,Walked,2022,0.024007531
United States,"Taxi, motorcycle, or other",2022,0.0153825
United States,Public transportation,2022,0.031219365
United States,Worked at home,2022,0.151837562
United States,Carpool,2022,0.086444531
United States,Drove alone,2022,0.686554505
United States,Bicycle,2021,0.003992848
United States,Walked,2021,0.022029116
United States,"Taxi, motorcycle, or other",2021,0.014701948
United States,Public transportation,2021,0.024581856
United States,Worked at home,2021,0.178649157
United States,Carpool,2021,0.07788237
United States,Drove alone,2021,0.678162705
United States,"Taxi, motorcycle, or other",2020,0.041274695
United States,Public transportation,2020,0.032163143
United States,Worked at home,2020,0.158151675
United States,Carpool,2020,0.078837182
United States,Drove alone,2020,0.689573306
United States,Bicycle,2019,0.005133905
United States,Walked,2019,0.026462434
United States,"Taxi, motorcycle, or other",2019,0.013884181
United States,Public transportation,2019,0.049562746
United States,Worked at home,2019,0.057160208
United States,Carpool,2019,0.088574358
United States,Drove alone,2019,0.759222168
United States,Bicycle,2018,0.002335802
United States,Walked,2018,0.014656027
United States,"Taxi, motorcycle, or other",2018,0.013127593
United States,Public transportation,2018,0.013255056
United States,Worked at home,2018,0.051971876
United States,Carpool,2018,0.097565714
United States,Drove alone,2018,0.807087933
United States,Bicycle,2017,0.005474832
United States,Walked,2017,0.026535086
United States,"Taxi, motorcycle, or other",2017,0.012689569
United States,Public transportation,2017,0.04998143
United States,Worked at home,2017,0.052317927
United States,Carpool,2017,0.089031512
United States,Drove alone,2017,0.763969644
United States,Bicycle,2016,0.005745414
United States,Walked,2016,0.027174918
United States,"Taxi, motorcycle, or other",2016,0.012218578
United States,Public transportation,2016,0.050866834
United States,Worked at home,2016,0.050485014
United States,Carpool,2016,0.090287901
United States,Drove alone,2016,0.763221341
United States,Bicycle,2015,0.005967929
United States,Walked,2015,0.02773739
United States,"Taxi, motorcycle, or other",2015,0.012114715
United States,Public transportation,2015,0.052324234
United States,Worked at home,2015,0.046135316
United States,Carpool,2015,0.089988799
United States,Drove alone,2015,0.765731618
United States,Bicycle,2014,0.006200445
United States,Walked,2014,0.027497608
United States,"Taxi, motorcycle, or other",2014,0.012375718
United States,Public transportation,2014,0.052103661
United States,Worked at home,2014,0.044851942
United States,Carpool,2014,0.092420434
United States,Drove alone,2014,0.764550194
United States,Bicycle,2013,0.00617084
United States,Walked,2013,0.0279826
United States,"Taxi, motorcycle, or other",2013,0.012543971
United States,Public transportation,2013,0.051714018
United States,Worked at home,2013,0.043570987
United States,Carpool,2013,0.09364016
United States,Drove alone,2013,0.764377424
United States,Bicycle,2012,0.006139889
