State,Government,Mode,Type,Year,Amount (thousands)
United States,Local,Highway,Expenditure,2021,120460851
United States,Local,Highway,Expenditure,2020,116055512
United States,Local,Highway,Expenditure,2019,109714508
United States,Local,Highway,Expenditure,2018,110691937
United States,Local,Highway,Expenditure,2017,101468042
United States,Local,Highway,Expenditure,2016,99542214
United States,Local,Highway,Expenditure,2015,95132536
United States,Local,Highway,Expenditure,2014,91089054
United States,Local,Highway,Expenditure,2013,90165894
United States,Local,Highway,Expenditure,2012,88269063
United States,Local,Highway,Expenditure,2011,86924430
United States,Local,Highway,Expenditure,2010,89606954
United States,Local,Highway,Expenditure,2009,90125072
United States,Local,Highway,Expenditure,2008,91033110
United States,Local,Highway,Expenditure,2007,80285994
United States,Local,Highway,Expenditure,2006,71920672
United States,Local,Highway,Expenditure,2005,67517978
United States,Local,Highway,Expenditure,2004,65186006
United States,Local,Transit,Expenditure,2021,63326306
United States,Local,Transit,Expenditure,2020,66356379
United States,Local,Transit,Expenditure,2019,62073347
United States,Local,Transit,Expenditure,2018,59884719
United States,Local,Transit,Expenditure,2017,59931468
United States,Local,Transit,Expenditure,2016,55041663
United States,Local,Transit,Expenditure,2015,52840419
United States,Local,Transit,Expenditure,2014,52376633
United States,Local,Transit,Expenditure,2013,51057384
United States,Local,Transit,Expenditure,2012,49459145
United States,Local,Transit,Expenditure,2011,47137478
United States,Local,Transit,Expenditure,2010,48741564
United States,Local,Transit,Expenditure,2009,48083668
United States,Local,Transit,Expenditure,2008,41879076
United States,Local,Transit,Expenditure,2007,38159698
United States,Local,Transit,Expenditure,2006,36278250
United States,Local,Transit,Expenditure,2005,35125439
United States,Local,Transit,Expenditure,2004,35376864
United States,State,Highway,Expenditure,2021,204538492
United States,State,Highway,Expenditure,2020,205962631
United States,State,Highway,Expenditure,2019,211961125
United States,State,Highway,Expenditure,2018,198292428
United States,State,Highway,Expenditure,2017,183694175
United States,State,Highway,Expenditure,2016,179808726
United States,State,Highway,Expenditure,2015,171745378
United States,State,Highway,Expenditure,2014,164466154
United States,State,Highway,Expenditure,2013,161414101
United States,State,Highway,Expenditure,2012,161934910
United States,State,Highway,Expenditure,2011,154886676
United States,State,Highway,Expenditure,2010,157888683
United States,State,Highway,Expenditure,2009,152747689
United States,State,Highway,Expenditure,2008,152971691
United States,State,Highway,Expenditure,2007,150044597
United States,State,Highway,Expenditure,2006,142787088
United States,State,Highway,Expenditure,2005,130930982
United States,State,Highway,Expenditure,2004,118436378
United States,State,Transit,Expenditure,2021,27184682
United States,State,Transit,Expenditure,2020,23403623
United States,State,Transit,Expenditure,2019,19863428
United States,State,Transit,Expenditure,2018,20447867
United States,State,Transit,Expenditure,2017,18572710
United States,State,Transit,Expenditure,2016,17082491
United States,State,Transit,Expenditure,2015,22106339
United States,State,Transit,Expenditure,2014,14065583
United States,State,Transit,Expenditure,2013,17326895
United States,State,Transit,Expenditure,2012,12781241
United States,State,Transit,Expenditure,2011,13430428
United States,State,Transit,Expenditure,2010,11407192
United States,State,Transit,Expenditure,2009,10692011
United States,State,Transit,Expenditure,2008,10013871
United States,State,Transit,Expenditure,2007,10013724
United States,State,Transit,Expenditure,2006,9952526
United States,State,Transit,Expenditure,2005,9077358
United States,State,Transit,Expenditure,2004,8875806
United States,State and Local,Highway,Expenditure,2021,324999343
United States,State and Local,Highway,Expenditure,2020,322018143
United States,State and Local,Highway,Expenditure,2019,321675633
United States,State and Local,Highway,Expenditure,2018,308984365
United States,State and Local,Highway,Expenditure,2017,285162217
United States,State and Local,Highway,Expenditure,2016,279350940
United States,State and Local,Highway,Expenditure,2015,266877914
United States,State and Local,Highway,Expenditure,2014,255555208
United States,State and Local,Highway,Expenditure,2013,251579995
United States,State and Local,Highway,Expenditure,2012,250203973
United States,State and Local,Highway,Expenditure,2011,241811106
United States,State and Local,Highway,Expenditure,2010,247495637
United States,State and Local,Highway,Expenditure,2009,242872761
United States,State and Local,Highway,Expenditure,2008,244004801
United States,State and Local,Highway,Expenditure,2007,230330591
United States,State and Local,Highway,Expenditure,2006,214707760
United States,State and Local,Highway,Expenditure,2005,198448960
United States,State and Local,Highway,Expenditure,2004,183622384
United States,State and Local,Transit,Expenditure,2021,90510988
United States,State and Local,Transit,Expenditure,2020,89760002
United States,State and Local,Transit,Expenditure,2019,81936775
United States,State and Local,Transit,Expenditure,2018,80332586
United States,State and Local,Transit,Expenditure,2017,78504178
United States,State and Local,Transit,Expenditure,2016,72124154
United States,State and Local,Transit,Expenditure,2015,74946758
United States,State and Local,Transit,Expenditure,2014,66442216
United States,State and Local,Transit,Expenditure,2013,68384279
United States,State and Local,Transit,Expenditure,2012,62240386
United States,State and Local,Transit,Expenditure,2011,60567906
United States,State and Local,Transit,Expenditure,2010,60148756
United States,State and Local,Transit,Expenditure,2009,58775679
United States,State and Local,Transit,Expenditure,2008,51892947
United States,State and Local,Transit,Expenditure,2007,48173422
United States,State and Local,Transit,Expenditure,2006,46230776
United States,State and Local,Transit,Expenditure,2005,44202797
United States,State and Local,Transit,Expenditure,2004,44252670
Alabama,Local,Highway,Expenditure,2021,1337763
Alabama,Local,Highway,Expenditure,2020,1232437
Alabama,Local,Highway,Expenditure,2019,1158539
Alabama,Local,Highway,Expenditure,2018,1130815
Alabama,Local,Highway,Expenditure,2017,1133421
Alabama,Local,Highway,Expenditure,2016,989344
Alabama,Local,Highway,Expenditure,2015,907236
Alabama,Local,Highway,Expenditure,2014,856795
Alabama,Local,Highway,Expenditure,2013,910436
Alabama,Local,Highway,Expenditure,2012,987466
Alabama,Local,Highway,Expenditure,2011,932573
Alabama,Local,Highway,Expenditure,2010,950967
Alabama,Local,Highway,Expenditure,2009,1089500
Alabama,Local,Highway,Expenditure,2008,947260
Alabama,Local,Highway,Expenditure,2007,1050357
Alabama,Local,Highway,Expenditure,2006,1069915
Alabama,Local,Highway,Expenditure,2005,936169
Alabama,Local,Highway,Expenditure,2004,733251
Alabama,Local,Transit,Expenditure,2021,79082
Alabama,Local,Transit,Expenditure,2020,81056
Alabama,Local,Transit,Expenditure,2019,72438
Alabama,Local,Transit,Expenditure,2018,73341
Alabama,Local,Transit,Expenditure,2017,72087
Alabama,Local,Transit,Expenditure,2016,67286
Alabama,Local,Transit,Expenditure,2015,61601
Alabama,Local,Transit,Expenditure,2014,60617
Alabama,Local,Transit,Expenditure,2013,60776
Alabama,Local,Transit,Expenditure,2012,64059
Alabama,Local,Transit,Expenditure,2011,67325
Alabama,Local,Transit,Expenditure,2010,65662
Alabama,Local,Transit,Expenditure,2009,62866
