State,Measures,Year,Values
United States,Transit Ridership,2021,4469002200
United States,Highway use of gasoline (thousand gallons),2021,128909697
United States,Highway vehicle-miles traveled (millions),2021,3153957.276
United States,Vehicles,2021,282366285
United States,Licensed drivers,2021,232781797
United States,Transit Ridership,2020,5937572698
United States,Highway Fatalities,2020,38824
United States,Highway use of gasoline (thousand gallons),2020,117251028
United States,Highway vehicle-miles traveled (millions),2020,2917383.137
United States,Vehicles,2020,275924442
United States,Licensed drivers,2020,228195802.4
United States,Transit Ridership,2022,5958764533
United States,Highway use of gasoline (thousand gallons),2022,127182516
United States,Highway vehicle-miles traveled (millions),2022,3211119.948
United States,Vehicles,2022,283400986.5
United States,Licensed drivers,2022,235086153
United States,Transit Ridership,2018,9862597629
United States,Highway Fatalities,2018,36835
United States,Highway use of gasoline (thousand gallons),2018,135336713
United States,Highway vehicle-miles traveled (millions),2018,3255346.658
United States,Vehicles,2018,273602100
United States,Licensed drivers,2018,227548895
United States,Transit Ridership,2019,9879420765
United States,Highway Fatalities,2019,36355
United States,Highway use of gasoline (thousand gallons),2019,136075824
United States,Highway vehicle-miles traveled (millions),2019,3276481.684
United States,Vehicles,2019,276491174
United States,Licensed drivers,2019,228679719.2
United States,Person miles (millions),2017,7940574
United States,Person trips (millions),2017,742304
United States,Persons traveling (thousands),2017,603198
United States,Transit Ridership,2017,10062520222
United States,Highway Fatalities,2017,37473
United States,Highway use of gasoline (thousand gallons),2017,135300642
United States,Highway vehicle-miles traveled (millions),2017,3225258.237
United States,Vehicles,2017,272480899
United States,Licensed drivers,2017,225346257
United States,Transit Ridership,2010,10081576063
United States,Highway Fatalities,2010,32999
United States,Highway use of gasoline (thousand gallons),2010,133725262
United States,Highway vehicle-miles traveled (millions),2010,2985854.322
United States,Vehicles,2010,242060550
United States,Licensed drivers,2010,210114939.3
United States,Transit Ridership,2011,10208051806
United States,Highway Fatalities,2011,32479
United States,Highway use of gasoline (thousand gallons),2011,131274407
United States,Highway vehicle-miles traveled (millions),2011,2963781.977
United States,Vehicles,2011,253215680
United States,Licensed drivers,2011,211874649.2
United States,Transit Ridership,2016,10367661686
United States,Highway Fatalities,2016,37806
United States,Highway use of gasoline (thousand gallons),2016,135559291
United States,Highway vehicle-miles traveled (millions),2016,3188379
United States,Vehicles,2016,268799083
United States,Licensed drivers,2016,221711918
United States,Transit Ridership,2012,10471110118
United States,Highway Fatalities,2012,33782
United States,Highway use of gasoline (thousand gallons),2012,130934705
United States,Highway vehicle-miles traveled (millions),2012,2982085.276
United States,Vehicles,2012,253639390
United States,Licensed drivers,2012,211814830
United States,Transit Ridership,2015,10495880570
United States,Highway Fatalities,2015,35484
United States,Highway use of gasoline (thousand gallons),2015,132242542
United States,Highway vehicle-miles traveled (millions),2015,3104405.552
United States,Vehicles,2015,263610219
United States,Licensed drivers,2015,218084465.3
United States,Transit Ridership,2013,10527881289
United States,Highway Fatalities,2013,32893
United States,Highway use of gasoline (thousand gallons),2013,131298651
United States,Highway vehicle-miles traveled (millions),2013,3001529.023
United States,Vehicles,2013,255876820
United States,Licensed drivers,2013,212159728
United States,Transit Ridership,2014,10632813957
United States,Highway Fatalities,2014,32744
United States,Highway use of gasoline (thousand gallons),2014,136468147
United States,Highway vehicle-miles traveled (millions),2014,3034941.523
United States,Vehicles,2014,260350940
United States,Licensed drivers,2014,214092471.7
Alabama,Transit Ridership,2021,4351973
Alabama,Highway use of gasoline (thousand gallons),2021,3072895
Alabama,Highway vehicle-miles traveled (millions),2021,79568.58544
Alabama,Vehicles,2021,5463966
Alabama,Licensed drivers,2021,4061837
Alabama,Transit Ridership,2020,5360383
Alabama,Highway Fatalities,2020,934
Alabama,Highway use of gasoline (thousand gallons),2020,2702225
Alabama,Highway vehicle-miles traveled (millions),2020,67921.49684
Alabama,Vehicles,2020,5320340
Alabama,Licensed drivers,2020,4042900
Alabama,Transit Ridership,2022,4756920
Alabama,Highway use of gasoline (thousand gallons),2022,3022118
Alabama,Highway vehicle-miles traveled (millions),2022,71630.53914
Alabama,Vehicles,2022,5464382
Alabama,Licensed drivers,2022,4087885
Alabama,Transit Ridership,2018,8249880
Alabama,Highway Fatalities,2018,953
Alabama,Highway use of gasoline (thousand gallons),2018,2540902
Alabama,Highway vehicle-miles traveled (millions),2018,71167.20675
Alabama,Vehicles,2018,5300199
Alabama,Licensed drivers,2018,3999057
Alabama,Transit Ridership,2019,7924251
Alabama,Highway Fatalities,2019,930
Alabama,Highway use of gasoline (thousand gallons),2019,2659652
Alabama,Highway vehicle-miles traveled (millions),2019,71734.62781
Alabama,Vehicles,2019,5288208.452
Alabama,Licensed drivers,2019,4026151
Alabama,Person miles (millions),2017,158050
Alabama,Person trips (millions),2017,10604
Alabama,Persons traveling (thousands),2017,8932
Alabama,Transit Ridership,2017,7827744
Alabama,Highway Fatalities,2017,948
Alabama,Highway use of gasoline (thousand gallons),2017,2550741
Alabama,Highway vehicle-miles traveled (millions),2017,70677.2482
Alabama,Vehicles,2017,5056073
Alabama,Licensed drivers,2017,3954378
Alabama,Transit Ridership,2010,7720672
Alabama,Highway Fatalities,2010,862
Alabama,Highway use of gasoline (thousand gallons),2010,2595316
Alabama,Highway vehicle-miles traveled (millions),2010,64165.14864
Alabama,Vehicles,2010,4653840
Alabama,Licensed drivers,2010,3805751
Alabama,Transit Ridership,2011,7586278
Alabama,Highway Fatalities,2011,895
Alabama,Highway use of gasoline (thousand gallons),2011,2538696
Alabama,Highway vehicle-miles traveled (millions),2011,64914.37237
Alabama,Vehicles,2011,4811940
Alabama,Licensed drivers,2011,3798552
Alabama,Transit Ridership,2016,8461560
Alabama,Highway Fatalities,2016,1083
Alabama,Highway use of gasoline (thousand gallons),2016,2580392
Alabama,Highway vehicle-miles traveled (millions),2016,69227
Alabama,Vehicles,2016,5468301
Alabama,Licensed drivers,2016,3943082
Alabama,Transit Ridership,2012,7818049
Alabama,Highway Fatalities,2012,865
Alabama,Highway use of gasoline (thousand gallons),2012,2521069
Alabama,Highway vehicle-miles traveled (millions),2012,64959.17207
Alabama,Vehicles,2012,4844630
Alabama,Licensed drivers,2012,3827522
Alabama,Transit Ridership,2015,8717476
Alabama,Highway Fatalities,2015,850
Alabama,Highway use of gasoline (thousand gallons),2015,2504176
Alabama,Highway vehicle-miles traveled (millions),2015,67257.00465
Alabama,Vehicles,2015,5400419
Alabama,Licensed drivers,2015,3907038
Alabama,Transit Ridership,2013,8377400
Alabama,Highway Fatalities,2013,853
Alabama,Highway use of gasoline (thousand gallons),2013,2519753
Alabama,Highway vehicle-miles traveled (millions),2013,65046.48393
Alabama,Vehicles,2013,4787220
Alabama,Licensed drivers,2013,3859403
Alabama,Transit Ridership,2014,8898719
Alabama,Highway Fatalities,2014,820
Alabama,Highway use of gasoline (thousand gallons),2014,2576928
Alabama,Highway vehicle-miles traveled (millions),2014,65666.60432
Alabama,Vehicles,2014,5366840
Alabama,Licensed drivers,2014,3881542
Alaska,Transit Ridership,2021,3378710
Alaska,Highway use of gasoline (thousand gallons),2021,233350
Alaska,Highway vehicle-miles traveled (millions),2021,5752.18765
Alaska,Vehicles,2021,686142
Alaska,Licensed drivers,2021,519288
Alaska,Transit Ridership,2020,3734760
Alaska,Highway Fatalities,2020,64
Alaska,Highway use of gasoline (thousand gallons),2020,211646
Alaska,Highway vehicle-miles traveled (millions),2020,5305.88855
Alaska,Vehicles,2020,792826
Alaska,Licensed drivers,2020,518872
Alaska,Transit Ridership,2022,4236056
Alaska,Highway use of gasoline (thousand gallons),2022,230167
Alaska,Highway vehicle-miles traveled (millions),2022,5478.20939
Alaska,Vehicles,2022,679125
Alaska,Licensed drivers,2022,521220
Alaska,Transit Ridership,2018,6106877
Alaska,Highway Fatalities,2018,80
Alaska,Highway use of gasoline (thousand gallons),2018,244389
Alaska,Highway vehicle-miles traveled (millions),2018,5487.319994
Alaska,Vehicles,2018,803684
Alaska,Licensed drivers,2018,536033
Alaska,Transit Ridership,2019,6273952
Alaska,Highway Fatalities,2019,67
Alaska,Highway use of gasoline (thousand gallons),2019,242562
Alaska,Highway vehicle-miles traveled (millions),2019,5881.303128
Alaska,Vehicles,2019,795274.6908
Alaska,Licensed drivers,2019,529281
Alaska,Person miles (millions),2017,15978
Alaska,Person trips (millions),2017,1716
Alaska,Persons traveling (thousands),2017,1372
Alaska,Transit Ridership,2017,6254636
Alaska,Highway Fatalities,2017,79
Alaska,Highway use of gasoline (thousand gallons),2017,247425
Alaska,Highway vehicle-miles traveled (millions),2017,5518.716307
Alaska,Vehicles,2017,804505
Alaska,Licensed drivers,2017,534585
Alaska,Transit Ridership,2010,6955499
Alaska,Highway Fatalities,2010,56
Alaska,Highway use of gasoline (thousand gallons),2010,265549
Alaska,Highway vehicle-miles traveled (millions),2010,4798.261974
Alaska,Vehicles,2010,710444
Alaska,Licensed drivers,2010,515239
Alaska,Transit Ridership,2011,7094790
Alaska,Highway Fatalities,2011,72
Alaska,Highway use of gasoline (thousand gallons),2011,259821
Alaska,Highway vehicle-miles traveled (millions),2011,4593.089397
Alaska,Vehicles,2011,757954
Alaska,Licensed drivers,2011,521280
Alaska,Transit Ridership,2016,6555157
Alaska,Highway Fatalities,2016,84
Alaska,Highway use of gasoline (thousand gallons),2016,253416
Alaska,Highway vehicle-miles traveled (millions),2016,5259
Alaska,Vehicles,2016,794614
Alaska,Licensed drivers,2016,534585
Alaska,Transit Ridership,2012,7214746
Alaska,Highway Fatalities,2012,59
Alaska,Highway use of gasoline (thousand gallons),2012,267783
Alaska,Highway vehicle-miles traveled (millions),2012,4792.081999
Alaska,Vehicles,2012,775245
Alaska,Licensed drivers,2012,526371
Alaska,Transit Ridership,2015,6835597
Alaska,Highway Fatalities,2015,65
Alaska,Highway use of gasoline (thousand gallons),2015,243380
Alaska,Highway vehicle-miles traveled (millions),2015,5045.390231
Alaska,Vehicles,2015,815122
Alaska,Licensed drivers,2015,533227
Alaska,Transit Ridership,2013,7275095
Alaska,Highway Fatalities,2013,51
Alaska,Highway use of gasoline (thousand gallons),2013,251692
Alaska,Highway vehicle-miles traveled (millions),2013,4848.454772
Alaska,Vehicles,2013,785825
Alaska,Licensed drivers,2013,528873
Alaska,Transit Ridership,2014,7023964
Alaska,Highway Fatalities,2014,73
Alaska,Highway use of gasoline (thousand gallons),2014,274074
Alaska,Highway vehicle-miles traveled (millions),2014,4856.704008
Alaska,Vehicles,2014,800433
Alaska,Licensed drivers,2014,531744
Arizona,Transit Ridership,2021,65632700
Arizona,Highway use of gasoline (thousand gallons),2021,2788875
Arizona,Highway vehicle-miles traveled (millions),2021,73759.95568
Arizona,Vehicles,2021,6064542
Arizona,Licensed drivers,2021,5795216
Arizona,Transit Ridership,2020,73930111
Arizona,Highway Fatalities,2020,1054
Arizona,Highway use of gasoline (thousand gallons),2020,2511812
Arizona,Highway vehicle-miles traveled (millions),2020,65758.27912
Arizona,Vehicles,2020,6053781
Arizona,Licensed drivers,2020,5681495
Arizona,Transit Ridership,2022,53486250
Arizona,Highway use of gasoline (thousand gallons),2022,2739682
Arizona,Highway vehicle-miles traveled (millions),2022,76159.31155
Arizona,Vehicles,2022,6090179
Arizona,Licensed drivers,2022,5847661
Arizona,Transit Ridership,2018,92021411
Arizona,Highway Fatalities,2018,1011
Arizona,Highway use of gasoline (thousand gallons),2018,2783217
Arizona,Highway vehicle-miles traveled (millions),2018,66144.51121
Arizona,Vehicles,2018,5806313
Arizona,Licensed drivers,2018,5284970
Arizona,Transit Ridership,2019,92845855
Arizona,Highway Fatalities,2019,979
Arizona,Highway use of gasoline (thousand gallons),2019,2831627
Arizona,Highway vehicle-miles traveled (millions),2019,70280.64647
Arizona,Vehicles,2019,5982559.286
Arizona,Licensed drivers,2019,5369210
Arizona,Person miles (millions),2017,228606
Arizona,Person trips (millions),2017,15240
Arizona,Persons traveling (thousands),2017,12764
Arizona,Transit Ridership,2017,95412935
Arizona,Highway Fatalities,2017,998
Arizona,Highway use of gasoline (thousand gallons),2017,2732137
Arizona,Highway vehicle-miles traveled (millions),2017,65069.57894
Arizona,Vehicles,2017,5964434
Arizona,Licensed drivers,2017,5164966
Arizona,Transit Ridership,2010,92042905
Arizona,Highway Fatalities,2010,759
Arizona,Highway use of gasoline (thousand gallons),2010,2585987
Arizona,Highway vehicle-miles traveled (millions),2010,59995.1587
Arizona,Vehicles,2010,4320010
Arizona,Licensed drivers,2010,4443647
Arizona,Transit Ridership,2011,91736733
Arizona,Highway Fatalities,2011,826
Arizona,Highway use of gasoline (thousand gallons),2011,2563505
Arizona,Highway vehicle-miles traveled (millions),2011,59574.9492
Arizona,Vehicles,2011,5109250
Arizona,Licensed drivers,2011,4592398
Arizona,Transit Ridership,2016,89911884
Arizona,Highway Fatalities,2016,952
Arizona,Highway use of gasoline (thousand gallons),2016,2716868
Arizona,Highway vehicle-miles traveled (millions),2016,65786
Arizona,Vehicles,2016,5786891
Arizona,Licensed drivers,2016,5082305
Arizona,Transit Ridership,2012,96119124
Arizona,Highway Fatalities,2012,821
Arizona,Highway use of gasoline (thousand gallons),2012,2555274
Arizona,Highway vehicle-miles traveled (millions),2012,60129.35825
Arizona,Vehicles,2012,5163010
Arizona,Licensed drivers,2012,4697579
Arizona,Transit Ridership,2015,98099021
Arizona,Highway Fatalities,2015,897
Arizona,Highway use of gasoline (thousand gallons),2015,2606360
Arizona,Highway vehicle-miles traveled (millions),2015,65044.85807
Arizona,Vehicles,2015,5630647
Arizona,Licensed drivers,2015,4978762
Arizona,Transit Ridership,2013,101618197
Arizona,Highway Fatalities,2013,849
Arizona,Highway use of gasoline (thousand gallons),2013,2578433
Arizona,Highway vehicle-miles traveled (millions),2013,60586.17136
Arizona,Vehicles,2013,5381050
Arizona,Licensed drivers,2013,4791450
Arizona,Transit Ridership,2014,99855788
Arizona,Highway Fatalities,2014,773
Arizona,Highway use of gasoline (thousand gallons),2014,2663653
Arizona,Highway vehicle-miles traveled (millions),2014,62630.73598
Arizona,Vehicles,2014,5588010
Arizona,Licensed drivers,2014,4881801
Arkansas,Transit Ridership,2021,3094249
Arkansas,Highway use of gasoline (thousand gallons),2021,1417358
Arkansas,Highway vehicle-miles traveled (millions),2021,38426.80577
Arkansas,Vehicles,2021,3555142
Arkansas,Licensed drivers,2021,2306921
Arkansas,Transit Ridership,2020,4382887
Arkansas,Highway Fatalities,2020,638
Arkansas,Highway use of gasoline (thousand gallons),2020,1326814
Arkansas,Highway vehicle-miles traveled (millions),2020,33918.76191
Arkansas,Vehicles,2020,2913369
Arkansas,Licensed drivers,2020,2153929
Arkansas,Transit Ridership,2022,4132228
Arkansas,Highway use of gasoline (thousand gallons),2022,1375440
Arkansas,Highway vehicle-miles traveled (millions),2022,38530.47256
Arkansas,Vehicles,2022,3569698
Arkansas,Licensed drivers,2022,2306921
Arkansas,Transit Ridership,2018,5897907
Arkansas,Highway Fatalities,2018,520
Arkansas,Highway use of gasoline (thousand gallons),2018,1379415
Arkansas,Highway vehicle-miles traveled (millions),2018,36675.30905
Arkansas,Vehicles,2018,2817145
Arkansas,Licensed drivers,2018,2145334
Arkansas,Transit Ridership,2019,6111621
Arkansas,Highway Fatalities,2019,511
Arkansas,Highway use of gasoline (thousand gallons),2019,1431471
Arkansas,Highway vehicle-miles traveled (millions),2019,37099.01982
Arkansas,Vehicles,2019,2902110.817
Arkansas,Licensed drivers,2019,2153929
Arkansas,Person miles (millions),2017,59954
Arkansas,Person trips (millions),2017,7260
Arkansas,Persons traveling (thousands),2017,6168
Arkansas,Transit Ridership,2017,6183297
Arkansas,Highway Fatalities,2017,525
Arkansas,Highway use of gasoline (thousand gallons),2017,1408054
Arkansas,Highway vehicle-miles traveled (millions),2017,36389.32515
Arkansas,Vehicles,2017,2833697
Arkansas,Licensed drivers,2017,2417464
Arkansas,Transit Ridership,2010,5407960
Arkansas,Highway Fatalities,2010,571
Arkansas,Highway use of gasoline (thousand gallons),2010,1408255
Arkansas,Highway vehicle-miles traveled (millions),2010,33504.42526
Arkansas,Vehicles,2010,2073410
Arkansas,Licensed drivers,2010,2077806
Arkansas,Transit Ridership,2011,5945409
Arkansas,Highway Fatalities,2011,551
Arkansas,Highway use of gasoline (thousand gallons),2011,1372183
Arkansas,Highway vehicle-miles traveled (millions),2011,32952.94952
Arkansas,Vehicles,2011,2448310
Arkansas,Licensed drivers,2011,1956091
Arkansas,Transit Ridership,2016,6420178
Arkansas,Highway Fatalities,2016,561
Arkansas,Highway use of gasoline (thousand gallons),2016,1412534
Arkansas,Highway vehicle-miles traveled (millions),2016,35755
Arkansas,Vehicles,2016,2808138
Arkansas,Licensed drivers,2016,2391103
Arkansas,Transit Ridership,2012,6581034
Arkansas,Highway Fatalities,2012,560
Arkansas,Highway use of gasoline (thousand gallons),2012,1366706
Arkansas,Highway vehicle-miles traveled (millions),2012,33522.13681
Arkansas,Vehicles,2012,2479920
Arkansas,Licensed drivers,2012,2199164
Arkansas,Transit Ridership,2015,6694851
Arkansas,Highway Fatalities,2015,550
Arkansas,Highway use of gasoline (thousand gallons),2015,1320737
Arkansas,Highway vehicle-miles traveled (millions),2015,34897.33423
Arkansas,Vehicles,2015,2772214
Arkansas,Licensed drivers,2015,2119578
Arkansas,Transit Ridership,2013,6570861
Arkansas,Highway Fatalities,2013,498
Arkansas,Highway use of gasoline (thousand gallons),2013,1342104
Arkansas,Highway vehicle-miles traveled (millions),2013,33493.27431
Arkansas,Vehicles,2013,2417960
Arkansas,Licensed drivers,2013,2097201
Arkansas,Transit Ridership,2014,6861259
Arkansas,Highway Fatalities,2014,470
Arkansas,Highway use of gasoline (thousand gallons),2014,1420837
Arkansas,Highway vehicle-miles traveled (millions),2014,34023.96012
Arkansas,Vehicles,2014,2778660
Arkansas,Licensed drivers,2014,2111873
California,Transit Ridership,2021,489444294
California,Highway use of gasoline (thousand gallons),2021,12812146
California,Highway vehicle-miles traveled (millions),2021,310822.7259
California,Vehicles,2021,31349073
California,Licensed drivers,2021,27112595
California,Transit Ridership,2020,1000292915
California,Highway Fatalities,2020,3847
California,Highway use of gasoline (thousand gallons),2020,11487227
California,Highway vehicle-miles traveled (millions),2020,299811.6831
California,Vehicles,2020,30398249
California,Licensed drivers,2020,27005302
California,Transit Ridership,2022,705670207
California,Highway use of gasoline (thousand gallons),2022,12516732
California,Highway vehicle-miles traveled (millions),2022,315243.5726
California,Vehicles,2022,31119113
California,Licensed drivers,2022,27632103
California,Transit Ridership,2018,1293074046
California,Highway Fatalities,2018,3798
California,Highway use of gasoline (thousand gallons),2018,14536101
California,Highway vehicle-miles traveled (millions),2018,348795.7135
California,Vehicles,2018,31022328
California,Licensed drivers,2018,27039400
California,Transit Ridership,2019,1267399653
California,Highway Fatalities,2019,3719
California,Highway use of gasoline (thousand gallons),2019,14432583
California,Highway vehicle-miles traveled (millions),2019,340836.2515
California,Vehicles,2019,31247270.05
California,Licensed drivers,2019,27213650
California,Person miles (millions),2017,957212
California,Person trips (millions),2017,88002
California,Persons traveling (thousands),2017,73264
California,Transit Ridership,2017,1324436440
California,Highway Fatalities,2017,3884
California,Highway use of gasoline (thousand gallons),2017,14613569
California,Highway vehicle-miles traveled (millions),2017,343862.1124
California,Vehicles,2017,30795141
California,Licensed drivers,2017,26777132
California,Transit Ridership,2010,1403504000
California,Highway Fatalities,2010,2720
California,Highway use of gasoline (thousand gallons),2010,14555037
California,Highway vehicle-miles traveled (millions),2010,322849.3982
California,Vehicles,2010,31014130
California,Licensed drivers,2010,23753441
California,Transit Ridership,2011,1386899775
California,Highway Fatalities,2011,2816
California,Highway use of gasoline (thousand gallons),2011,14276055
California,Highway vehicle-miles traveled (millions),2011,320783.9054
California,Vehicles,2011,29176700
California,Licensed drivers,2011,23856600
California,Transit Ridership,2016,1398152646
California,Highway Fatalities,2016,3837
California,Highway use of gasoline (thousand gallons),2016,14540213
California,Highway vehicle-miles traveled (millions),2016,340115
California,Vehicles,2016,30221033
California,Licensed drivers,2016,26199436
California,Transit Ridership,2012,1418917723
California,Highway Fatalities,2012,2966
California,Highway use of gasoline (thousand gallons),2012,14221198
California,Highway vehicle-miles traveled (millions),2012,326271.6506
California,Vehicles,2012,27702150
California,Licensed drivers,2012,24200997
California,Transit Ridership,2015,1435297360
California,Highway Fatalities,2015,3387
California,Highway use of gasoline (thousand gallons),2015,14188342
California,Highway vehicle-miles traveled (millions),2015,335538.5566
California,Vehicles,2015,29424012
California,Licensed drivers,2015,25532920
California,Transit Ridership,2013,1441811356
California,Highway Fatalities,2013,3107
California,Highway use of gasoline (thousand gallons),2013,14201939
California,Highway vehicle-miles traveled (millions),2013,329534.133
California,Vehicles,2013,28074980
California,Licensed drivers,2013,24390236
California,Transit Ridership,2014,1458600707
California,Highway Fatalities,2014,3102
California,Highway use of gasoline (thousand gallons),2014,14660111
California,Highway vehicle-miles traveled (millions),2014,332857.198
California,Vehicles,2014,28686650
California,Licensed drivers,2014,24813346
Colorado,Transit Ridership,2021,66857905
Colorado,Highway use of gasoline (thousand gallons),2021,2156344
Colorado,Highway vehicle-miles traveled (millions),2021,53839.70626
Colorado,Vehicles,2021,5096394
Colorado,Licensed drivers,2021,4411587
Colorado,Transit Ridership,2020,70052872
Colorado,Highway Fatalities,2020,622
Colorado,Highway use of gasoline (thousand gallons),2020,1921601
Colorado,Highway vehicle-miles traveled (millions),2020,48642.0466
Colorado,Vehicles,2020,5350708
Colorado,Licensed drivers,2020,4299447
Colorado,Transit Ridership,2022,84472959
Colorado,Highway use of gasoline (thousand gallons),2022,2383076
Colorado,Highway vehicle-miles traveled (millions),2022,53935.28656
Colorado,Vehicles,2022,5116858
Colorado,Licensed drivers,2022,4477447
Colorado,Transit Ridership,2018,132727049
Colorado,Highway Fatalities,2018,632
Colorado,Highway use of gasoline (thousand gallons),2018,2210977
Colorado,Highway vehicle-miles traveled (millions),2018,53953.6075
Colorado,Vehicles,2018,5356018
Colorado,Licensed drivers,2018,4244713
Colorado,Transit Ridership,2019,134188182
Colorado,Highway Fatalities,2019,597
